iter	Logloss
0	0.6494886847
1	0.6066467959
2	0.5742754878
3	0.5480304465
4	0.5205934729
5	0.4998930905
6	0.4761797021
7	0.457337374
8	0.4394093298
9	0.4247481107
10	0.4140748778
11	0.4019862369
12	0.3900738988
13	0.3816566384
14	0.3735212508
15	0.3675187445
16	0.3590664217
17	0.3529809795
18	0.3464915436
19	0.3414125354
20	0.3363021934
21	0.3299290666
22	0.326631365
23	0.3225137952
24	0.3189988124
25	0.3149921061
26	0.3113057349
27	0.3081665495
28	0.304744701
29	0.3025680396
30	0.2989953507
31	0.2972989884
32	0.2952966517
33	0.2932463519
34	0.2915186797
35	0.2896144593
36	0.2868123495
37	0.2845012976
38	0.2825230533
39	0.2803568832
40	0.2785341157
41	0.2774510287
42	0.2762132231
43	0.2751081513
44	0.2739205155
45	0.272745336
46	0.2717925649
47	0.2704030969
48	0.2672726909
49	0.2665041882
50	0.2656390281
51	0.264688917
52	0.2632547754
53	0.2617350152
54	0.2607195851
55	0.2598728397
56	0.25851209
57	0.257275895
58	0.2567032542
59	0.2550969302
60	0.2540128609
61	0.2531118077
62	0.252062845
63	0.2512915162
64	0.2501202221
65	0.2494045676
66	0.2479381195
67	0.2473805476
68	0.2469666617
69	0.2462908579
70	0.2451284006
71	0.2447251881
72	0.2432282801
73	0.241199562
74	0.2398443163
75	0.2386950841
76	0.2374493095
77	0.2368944312
78	0.2364188453
79	0.2359453756
80	0.2354804161
81	0.2350671933
82	0.2346523733
83	0.2339079141
84	0.2321196412
85	0.2314466646
86	0.2305235768
87	0.2292553672
88	0.2283984081
89	0.2272848531
90	0.2268697133
91	0.2261842247
92	0.2251856896
93	0.2248682595
94	0.2240139207
95	0.2234111101
96	0.2219582533
97	0.2216624033
98	0.2199109667
99	0.219706857
100	0.2188987152
101	0.2182120775
102	0.2171805729
103	0.2166533314
104	0.2164748217
105	0.2160019926
106	0.2150099269
107	0.2145933091
108	0.2133969756
109	0.2131930403
110	0.2127253408
111	0.2123642151
112	0.2116999529
113	0.2113507728
114	0.2109700555
115	0.2104759639
116	0.2103456067
117	0.2095260174
118	0.2092648225
119	0.2090503213
120	0.208849754
121	0.2081392675
122	0.2074845394
123	0.2070021997
124	0.2061481671
125	0.2056031104
126	0.204416779
127	0.2039244773
128	0.2034611549
129	0.2027393499
130	0.202161108
131	0.2013947118
132	0.2008873521
133	0.200078638
134	0.1994714707
135	0.1985104376
136	0.1979840075
137	0.1970517535
138	0.1967328461
139	0.1963212299
140	0.1961568649
141	0.1959566272
142	0.1956360156
143	0.1947764916
144	0.1943135066
145	0.1941627622
146	0.1938162947
147	0.1933246361
148	0.1927894762
149	0.192273615
150	0.1916848422
151	0.1913848127
152	0.1910442353
153	0.1904983104
154	0.1898283907
155	0.189681872
156	0.1883395918
157	0.1880750206
158	0.1876415888
159	0.187172471
160	0.1865118231
161	0.1858688397
162	0.1848062847
163	0.1845375566
164	0.1837959846
165	0.1833272605
166	0.1829522147
167	0.1824740663
168	0.1822448235
169	0.1819699852
170	0.1816614734
171	0.1811089946
172	0.1806382132
173	0.1803673306
174	0.1797462874
175	0.1792112247
176	0.1782233371
177	0.1779901347
178	0.1778243114
179	0.17728602
180	0.176978296
181	0.1767892024
182	0.1757264962
183	0.1754982233
184	0.1747017081
185	0.1744114076
186	0.1741606856
187	0.1735704752
188	0.1730784256
189	0.172904833
190	0.1727033843
191	0.1720383998
192	0.1718599049
193	0.1710735418
194	0.1702940364
195	0.1698862776
196	0.1696552756
197	0.1690572457
198	0.1683133623
199	0.1677316978
200	0.1673535539
201	0.1671296698
202	0.1669010416
203	0.1663507591
204	0.1660480106
205	0.1657067407
206	0.1647443217
207	0.1644924904
208	0.1640392087
209	0.1637640712
210	0.1635533222
211	0.1631333843
212	0.162599355
213	0.1624048585
214	0.1616711506
215	0.1613634466
216	0.1610728289
217	0.1602427837
218	0.1601405422
219	0.1598911344
220	0.1596103817
221	0.159103523
222	0.1589097573
223	0.1583231201
224	0.1581340646
225	0.157767441
226	0.1575321783
227	0.157117381
228	0.1565646239
229	0.1562029666
230	0.1560195116
231	0.1558109378
232	0.1553955883
233	0.1550090289
234	0.1546943749
235	0.154465532
236	0.1542944949
237	0.1537394759
238	0.1535471667
239	0.1533364929
240	0.1531620843
241	0.152634782
242	0.1523145951
243	0.1522166306
244	0.1519799961
245	0.1516454396
246	0.1511759409
247	0.1509856186
248	0.150762122
249	0.1501612995
250	0.1497064845
251	0.1493146251
252	0.1491205894
253	0.1487598963
254	0.1485710649
255	0.1483681615
256	0.1481909955
257	0.1478762503
258	0.147591361
259	0.1472469512
260	0.1469511218
261	0.1465383998
262	0.1460357665
263	0.1455418056
264	0.1453214518
265	0.145134431
266	0.1450593526
267	0.1446016043
268	0.1441735192
269	0.1440501655
270	0.1436817358
271	0.1431886463
272	0.1430109953
273	0.1427081598
274	0.1423776204
275	0.1422263663
276	0.14186167
277	0.141641144
278	0.1415162007
279	0.1411925128
280	0.1409747928
281	0.1408719813
282	0.1405205964
283	0.1402507834
284	0.1397698297
285	0.1396274144
286	0.1395174317
287	0.1392860427
288	0.1391870891
289	0.1390931489
290	0.1389459274
291	0.138770434
292	0.1385933727
293	0.1381908111
294	0.1380561375
295	0.1378381015
296	0.1377166733
297	0.1375043779
298	0.1373956967
299	0.1371460126
300	0.1370078791
301	0.1368747295
302	0.1367814408
303	0.1366837748
304	0.1365834283
305	0.1362827352
306	0.1359930186
307	0.1359168807
308	0.1356687961
309	0.135539599
310	0.1352560312
311	0.1349667739
312	0.1347395197
313	0.1346082108
314	0.1342639825
315	0.133964874
316	0.1336009458
317	0.1333897098
318	0.1332715741
319	0.1329588134
320	0.1327482367
321	0.1325514055
322	0.1324126281
323	0.1321976089
324	0.1320394606
325	0.1319045011
326	0.1317138545
327	0.1313533027
328	0.1310213626
329	0.1309013983
330	0.1307229776
