iter	Passed	Remaining
0	189	189110
1	211	105724
2	229	76173
3	241	60149
4	253	50421
5	265	44007
6	279	39591
7	289	35905
8	298	32877
9	307	30449
10	315	28378
11	324	26721
12	332	25252
13	340	24006
14	349	22937
15	357	21994
16	365	21161
17	374	20430
18	382	19746
19	390	19138
20	398	18594
21	407	18117
22	416	17680
23	426	17329
24	437	17060
25	446	16731
26	458	16540
27	468	16275
28	477	15999
29	487	15766
30	496	15507
31	505	15300
32	515	15113
33	524	14899
34	533	14714
35	542	14521
36	551	14351
37	560	14182
38	569	14037
39	579	13916
40	589	13791
41	600	13705
42	613	13654
43	624	13575
44	634	13464
45	643	13347
46	653	13243
47	662	13148
48	673	13072
49	682	12969
50	691	12873
51	701	12784
52	711	12713
53	721	12633
54	730	12548
55	742	12516
56	751	12432
57	759	12335
58	767	12241
59	776	12159
60	784	12071
61	792	11985
62	800	11902
63	808	11825
64	817	11755
65	826	11691
66	834	11620
67	842	11547
68	850	11474
69	858	11401
70	867	11345
71	875	11289
72	883	11220
73	891	11157
74	899	11097
75	907	11032
76	914	10967
77	922	10907
78	930	10853
79	938	10793
80	947	10744
81	955	10699
82	964	10656
83	974	10622
84	983	10589
85	993	10559
86	1003	10527
87	1012	10495
88	1023	10479
89	1036	10478
90	1048	10470
91	1060	10461
92	1071	10448
93	1082	10428
94	1091	10396
95	1100	10364
96	1109	10330
97	1120	10315
98	1131	10295
99	1140	10262
100	1149	10235
101	1159	10208
102	1168	10177
103	1177	10145
104	1185	10102
105	1194	10072
106	1203	10043
107	1212	10012
108	1222	9991
109	1231	9964
110	1240	9936
111	1248	9902
112	1257	9870
113	1266	9841
114	1275	9819
115	1285	9795
116	1294	9766
117	1302	9739
118	1311	9712
119	1320	9683
120	1329	9655
121	1337	9623
122	1345	9595
123	1354	9566
124	1363	9544
125	1371	9516
126	1381	9493
127	1390	9472
128	1399	9450
129	1410	9440
130	1421	9428
131	1430	9408
132	1440	9390
133	1449	9368
134	1457	9339
135	1465	9311
136	1473	9281
137	1481	9252
138	1489	9223
139	1496	9195
140	1504	9163
141	1511	9132
142	1519	9106
143	1527	9082
144	1535	9055
145	1543	9028
146	1551	9000
147	1558	8973
148	1566	8946
149	1574	8920
150	1581	8893
151	1589	8867
152	1597	8841
153	1605	8818
154	1612	8792
155	1621	8772
156	1629	8748
157	1637	8725
158	1645	8703
159	1653	8680
160	1661	8658
161	1670	8643
162	1678	8619
163	1686	8596
164	1693	8571
165	1701	8549
166	1709	8525
167	1717	8504
168	1725	8483
169	1732	8459
170	1740	8437
171	1748	8416
172	1756	8398
173	1764	8376
174	1772	8356
175	1780	8334
176	1788	8315
177	1796	8294
178	1804	8276
179	1812	8256
180	1820	8237
181	1828	8217
182	1836	8197
183	1843	8177
184	1852	8160
185	1860	8140
186	1867	8120
187	1875	8100
188	1883	8080
189	1890	8059
190	1898	8039
191	1905	8020
192	1913	8001
193	1921	7984
194	1929	7964
195	1936	7944
196	1944	7924
197	1951	7905
198	1959	7888
199	1968	7874
200	1977	7860
201	1987	7851
202	1996	7837
203	2005	7824
204	2015	7817
205	2026	7809
206	2035	7798
207	2044	7785
208	2054	7773
209	2063	7762
210	2074	7759
211	2085	7750
212	2095	7742
213	2104	7729
214	2114	7720
215	2124	7712
216	2135	7704
217	2146	7701
218	2157	7692
219	2167	7685
220	2176	7673
221	2185	7657
222	2194	7645
223	2203	7634
224	2212	7621
225	2222	7611
226	2230	7596
227	2238	7578
228	2245	7560
229	2253	7543
230	2260	7526
231	2268	7508
232	2276	7494
233	2284	7478
234	2292	7462
235	2299	7444
236	2307	7429
237	2315	7413
238	2323	7398
239	2331	7381
240	2339	7366
241	2346	7349
242	2354	7333
243	2361	7317
244	2369	7301
